FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados
161001;0;39,2329;;
161002;0;92,3037;;
161003;0;86,5142;;
161004;0;56,3737;;
161005;0;40,533;;
161006;0;31,1333;;
161007;0;54,3871;;
161008;0;44,6096;;
161009;0;22,3354;;
161010;0;24,2183;;
161011;0;31,6431;;
161012;0;34,8026;;
161013;0;23,5691;;
161014;0;41,7473;;
161015;0;58,6179;;
161016;0;56,9858;;
161017;0;37,7125;;
161018;0;70,1996;;
161019;0;61,5846;;
161020;0;28,48;;
161021;0;40,9221;;
161022;0;56,2534;;
161023;0;52,1704;;
161024;0;28,8908;;
161025;0;25,2913;;
161026;0;25,3825;;
161027;0;28,9379;;
161028;0;25,9732;;
161029;0;17,2783;;
161030;0;20,502;;
161031;0;23,3944;;
161101;0;17,0325;;
161102;0;19,7264;;
161103;0;24,499;;
161104;0;45,6873;;
161105;0;27,5967;;
161106;0;27,9099;;
161107;0;35,1008;;
161108;0;37,1571;;
161109;0;21,8782;;
161110;0;22,7753;;
161111;0;22,2352;;
161112;0;19,071;;
161113;0;21,2307;;
161114;0;28,6337;;
161115;0;39,382;;
161116;0;34,7654;;
161117;0;26,9475;;
161118;0;24,4088;;
161119;0;17,6183;;
161120;0;51,0296;;
161121;0;36,1721;;
161122;0;33,5942;;
161123;0;18,3191;;
161124;0;16,1794;;
161125;0;22,5492;;
161126;0;20,6461;;
161127;0;15,5312;;
161128;0;18,8065;;
161129;0;17,5392;;
161130;0;16,1608;;
161201;0;30,5297;;
161202;0;22,1271;;
161203;0;33,44;;
161204;0;34,9429;;
161205;0;18,1467;;
161206;0;16,8167;;
161207;0;16,8662;;
161208;0;15,341;;
161209;0;24,0131;;
161210;0;16,2749;;
161211;0;13,7545;;
161212;0;16,3813;;
161213;0;21,0088;;
161214;0;19,4876;;
161215;0;15,2095;;
161216;0;16,7778;;
161217;0;14,1071;;
161218;0;11,9622;;
161219;0;14,014;;
161220;0;20,5358;;
161221;0;16,1019;;
161222;0;13,6653;;
161223;0;16,1367;;
161224;0;29,4767;;
161225;0;22,8448;;
161226;0;16,1031;;
161227;0;14,1106;;
161228;0;13,8691;;
161229;0;14,93;;
161230;0;16,7461;;
161231;0;19,345;;
170101;0;24,3273;;
170102;0;23,2267;;
170103;0;16,681;;
170104;0;21,1171;;
170105;0;20,5483;;
170106;0;32,9638;;
170107;0;18,6381;;
170108;0;17,2158;;
170109;0;20,1864;;
170110;0;14,5209;;
170111;0;18,8524;;
170112;0;25,3339;;
170113;0;16,6393;;
170114;0;15,8946;;
170115;0;14,2431;;
170116;0;21,8672;;
170117;0;15,2973;;
170118;0;17,6142;;
170119;0;14,1762;;
170120;0;12,7413;;
170121;0;17,8208;;
170122;0;21,9733;;
170123;0;20,0989;;
170124;0;15,954;;
170125;0;13,1948;;
170126;0;11,4483;;
170127;0;15,0485;;
170128;0;18,802;;
170129;0;14,2845;;
170130;0;17,9944;;
170131;0;21,7185;;
170201;0;16,2332;;
170202;0;18,0012;;
170203;0;16,0228;;
170204;0;22,7075;;
170205;0;18,2979;;
170206;0;21,804;;
170207;0;16,9171;;
170208;0;17,4192;;
170209;0;18,5125;;
170210;0;14,9155;;
170211;0;17,1783;;
170212;0;21,9725;;
170213;0;19,133;;
170214;0;23,3892;;
170215;0;16,6704;;
170216;0;19,2218;;
170217;0;19,5101;;
170218;0;23,5753;;
170219;0;23,5687;;
170220;0;24,9691;;
170221;0;22,2062;;
170222;0;16,2255;;
170223;0;15,0775;;
170224;0;18,7067;;
170225;0;15,7188;;
170226;0;16,216;;
170227;0;14,9436;;
170228;0;16,6978;;
170301;0;20,8913;;
170302;0;18,1936;;
170303;0;22,1462;;
170304;0;20,7212;;
170305;0;24,7397;;
170306;0;43,9608;;
170307;0;54,8004;;
170308;0;30,6225;;
170309;0;21,6035;;
170310;0;23,915;;
170311;0;20,9029;;
170312;0;15,4902;;
170313;0;27,3246;;
170314;0;22,7272;;
170315;0;26,29;;
170316;0;39,3392;;
170317;0;33,8044;;
170318;0;33,9946;;
170319;0;18,5892;;
170320;0;27,2859;;
170321;0;22,5982;;
170322;0;52,0004;;
170323;0;32,3784;;
170324;0;35,8775;;
170325;0;74,3229;;
170326;0;70,6312;;
170327;0;47,1054;;
170328;0;90,0758;;
170329;0;62,6789;;
170330;0;;;
170331;0;43,045;;
170401;0;78,8518;;
170402;0;59,6971;;
170403;0;27,0969;;
170404;0;31,7335;;
170405;0;33,7267;;
170406;0;62,3716;;
170407;0;89,9561;;
170408;0;99,2308;;
170409;0;36,565;;
170410;0;37,2103;;
170411;0;69,0209;;
170412;0;203,555;;
170413;0;276,984;;
170414;0;163,97;;
170415;0;121,688;;
170416;0;227,208;;
170417;0;167,672;;
170418;0;56,6721;;
170419;0;31,3517;;
170420;0;35,0546;;
170421;0;34,7746;;
170422;0;41,6083;;
170423;0;38,2833;;
170424;0;64,5079;;
170425;0;50,2871;;
170426;0;47,4017;;
170427;0;43,5196;;
170428;0;25,9209;;
170429;0;37,2888;;
170430;0;21,3306;;
170501;0;58;;
170502;0;36;;
170503;0;81;;
170504;0;45;;
170505;0;145;;
170506;0;158;;
170507;0;88;;
170508;0;96;;
170509;0;182;;
170510;0;315;;
170511;0;210;;
170512;0;204;;
170513;0;146;;
170514;0;40;;
170515;0;82;;
170516;0;120;;
170517;0;92;;
170518;0;125;;
170519;0;60;;
170520;0;41;;
170521;0;37;;
170522;0;47;;
170523;0;55;;
170524;0;82;;
170525;0;55;;
170526;0;70;;
170527;0;41;;
170528;0;87;;
170529;0;192;;
170530;0;221;;
170531;0;123;;
170601;0;68;;
170602;0;86;;
170603;0;68;;
170604;0;72;;
170605;0;49;;
170606;0;42;;
170607;0;86;;
170608;0;36;;
170609;0;29;;
170610;0;49;;
170611;0;31;;
170612;0;65;;
170613;0;83;;
170614;0;126;;
170615;0;157;;
170616;0;169;;
170617;0;225;;
170618;0;71;;
170619;0;109;;
170620;0;180;;
170621;0;190;;
170622;0;122;;
170623;0;171;;
170624;0;139;;
170625;0;140;;
170626;0;125;;
170627;0;226;;
170628;0;110;;
170629;0;121;;
170630;0;250;;
170701;0;123;;
170702;0;251;;
170703;0;179;;
170704;0;163;;
170705;0;220;;
170706;0;51;;
170707;0;123;;
170708;0;158;;
170709;0;56;;
170710;0;63;;
170711;0;71;;
170712;0;111;;
170713;0;86;;
170714;0;210;;
170715;0;232;;
170716;0;57;;
170717;0;48;;
170718;0;37;;
170719;0;65;;
170720;0;76;;
170721;0;115;;
170722;0;115;;
170723;0;53;;
170724;0;42;;
170725;0;57;;
170726;0;104;;
170727;0;80;;
170728;0;54;;
170729;0;84;;
170730;0;142;;
170731;0;65;;
170801;0;36;;
170802;0;31;;
170803;0;58;;
170804;0;120;;
170805;0;138;;
170806;0;93;;
170807;0;93;;
170808;0;191;;
170809;0;209;;
170810;0;145;;
170811;0;98;;
170812;0;65;;
170813;0;53;;
170814;0;41;;
170815;0;40;;
170816;0;43;;
170817;0;100;;
170818;0;72;;
170819;0;58;;
170820;0;23;;
170821;0;93;;
170822;0;55;;
170823;0;117;;
170824;0;58;;
170825;0;83;;
170826;0;86;;
170827;0;121;;
170828;0;220;;
170829;0;65;;
170830;0;;;
170831;0;;;
170901;0;;;
170902;0;;;
170903;0;;;
170904;0;;;
170905;0;;;
170906;0;;;
170907;0;;;
170908;0;;;
170909;0;58;;
170910;0;40;;
170911;0;41;;
170912;0;30;;
170913;0;45;;
170914;0;34;;
170915;0;23;;
170916;0;23;;
170917;0;32;;
170918;0;43;;
170919;0;27;;
170920;0;24;;
170921;0;24;;
170922;0;34;;
170923;0;32;;
170924;0;31;;
170925;0;45;;
170926;0;53;;
170927;0;48;;
170928;0;81;;
170929;0;72;;
170930;0;34;;
171001;0;20;;
171002;0;37;;
171003;0;59;;
171004;0;37;;
171005;0;35;;
171006;0;23;;
171007;0;25;;
171008;0;50;;
171009;0;28;;
171010;0;67;;
171011;0;49;;
171012;0;37;;
171013;0;23;;
171014;0;18;;
171015;0;21;;
171016;0;24;;
171017;0;29;;
171018;0;29;;
171019;0;25;;
171020;0;39;;
171021;0;29;;
171022;0;33;;
171023;0;30;;
171024;0;26;;
171025;0;22;;
171026;0;22;;
171027;0;28;;
171028;0;21;;
171029;0;27;;
171030;0;25;;
171031;0;55;;
171101;0;23;;
171102;0;27;;
171103;0;39;;
171104;0;34;;
171105;0;41;;
171106;0;29;;
171107;0;30;;
171108;0;37;;
171109;0;30;;
171110;0;30;;
171111;0;26;;
171112;0;20;;
171113;0;20;;
171114;0;19;;
171115;0;17;;
171116;0;18;;
171117;0;23;;
171118;0;25;;
171119;0;27;;
171120;0;25;;
171121;0;30;;
171122;0;23;;
171123;0;24;;
171124;0;23;;
171125;0;22;;
171126;0;25;;
171127;0;24;;
171128;0;16;;
171129;0;20;;
171130;0;30;;
171201;0;26;;
171202;0;37;;
171203;0;30;;
171204;0;22;;
171205;0;16;;
171206;0;15;;
171207;0;22;;
171208;0;24;;
171209;0;15;;
171210;0;12;;
171211;0;15;;
171212;0;14;;
171213;0;18;;
171214;0;22;;
171215;0;19;;
171216;0;18;;
171217;0;16;;
171218;0;17;;
171219;0;17;;
171220;0;17;;
171221;0;29;;
171222;0;21;;
171223;0;17;;
171224;0;15;;
171225;0;;;
171226;0;14;;
171227;0;22;;
171228;0;13;;
171229;0;16;;
171230;0;17;;
171231;0;18;;
180101;0;16;;
180102;0;13;;
180103;0;17;;
180104;0;20;;
180105;0;17;;
180106;0;18;;
180107;0;13;;
180108;0;11;;
180109;0;12;;
180110;0;16;;
180111;0;14;;
180112;0;14;;
180113;0;18;;
180114;0;13;;
180115;0;17;;
180116;0;18;;
180117;0;15;;
180118;0;16;;
180119;0;12;;
180120;0;10;;
180121;0;13;;
180122;0;17;;
180123;0;17;;
180124;0;17;;
180125;0;21;;
180126;0;18;;
180127;0;17;;
180128;0;17;;
180129;0;15;;
180130;0;15;;
180131;0;14;;
180201;0;12;;
180202;0;12;;
180203;0;13;;
180204;0;13;;
180205;0;18;;
180206;0;22;;
180207;0;14;;
180208;0;20;;
180209;0;22;;
180210;0;23;;
180211;0;25;;
180212;0;12;;
180213;0;14;;
180214;0;12;;
180215;0;11;;
180216;0;9;;
180217;0;14;;
180218;0;13;;
180219;0;19;;
180220;0;17;;
180221;0;20;;
180222;0;17;;
180223;0;24;;
180224;0;21;;
180225;0;8;;
180226;0;14;;
180227;0;18;;
180228;0;15;;
180301;0;15;;
180302;0;16;;
180303;0;22;;
180304;0;27;;
180305;0;16;;
180306;0;14;;
180307;0;18;;
180308;0;16;;
180309;0;24;;
180310;0;19;;
180311;0;21;;
180312;0;23;;
180313;0;24;;
180314;0;29;;
180315;0;28;;
180316;0;40;;
180317;0;38;;
180318;0;16;;
180319;0;38;;
180320;0;113;;
180321;0;86;;
180322;0;27;;
180323;0;42;;
180324;0;42;;
180325;0;23;;
180326;0;31;;
180327;0;32;;
180328;0;28;;
180329;0;33;;
180330;0;18;;
180331;0;26;;
180401;0;19;;
180402;0;25;;
180403;0;41;;
180404;0;34;;
180405;0;30;;
180406;0;49;;
180407;0;50;;
180408;0;59;;
180409;0;69;;
180410;0;35;;
180411;0;40;;
180412;0;49;;
180413;0;78;;
180414;0;40;;
180415;0;37;;
180416;0;34;;
180417;0;22;;
180418;0;23;;
180419;0;39;;
180420;0;36;;
180421;0;38;;
180422;0;33;;
180423;0;32;;
180424;0;45;;
180425;0;97;;
180426;0;47;;
180427;0;50;;
180428;0;50;;
180429;0;55;;
180430;0;138;;
180501;0;71;;
180502;0;87;;
180503;0;33;;
180504;0;86;;
180505;0;153;;
180506;0;236;;
180507;0;168;;
180508;0;35;;
180509;0;34;;
180510;0;33;;
180511;0;63;;
180512;0;120;;
180513;0;106;;
180514;0;70;;
180515;0;121;;
180516;0;85;;
180517;0;105;;
180518;0;132;;
180519;0;63;;
180520;0;43;;
180521;0;26;;
180522;0;40;;
180523;0;45;;
180524;0;48;;
180525;0;87;;
180526;0;32;;
180527;0;125;;
180528;0;58;;
180529;0;66;;
180530;0;55;;
180531;0;44;;
180601;0;235;;
180602;0;430;;
180603;0;335;;
180604;0;185;;
180605;0;137;;
180606;0;106;;
180607;0;154;;
180608;0;75;;
180609;0;186;;
180610;0;325;;
180611;0;224;;
180612;0;383;;
180613;0;278;;
180614;0;259;;
180615;0;103;;
180616;0;87;;
180617;0;122;;
180618;0;93;;
180619;0;47;;
180620;0;60;;
180621;0;49;;
180622;0;86;;
180623;0;99;;
180624;0;46;;
180625;0;70;;
180626;0;70;;
180627;0;75;;
180628;0;68;;
180629;0;60;;
180630;0;111;;
180701;0;97;;
180702;0;222;;
180703;0;388;;
180704;0;240;;
180705;0;143;;
180706;0;225;;
180707;0;306;;
180708;0;279;;
180709;0;402;;
180710;0;134;;
180711;0;99;;
180712;0;;;71
180713;0;;;116
180714;0;90;;
180715;0;109;;
180716;0;66;;
180717;0;124;;
180718;0;55;;
180719;0;67;;
180720;0;105;;
180721;0;73;;
180722;0;65;;
180723;0;49;;
180724;0;114;;
180725;0;129;;
180726;0;410;;
180727;0;138;;
180728;0;47;;
180729;0;39;;
180730;0;56;;
180731;0;36;;
180801;0;100;;
180802;0;239;;
180803;0;40;;
180804;0;61;;
180805;0;47;;
180806;0;106;;
180807;0;90;;
180808;0;179;;
180809;0;153;;
180810;0;155;;
180811;0;242;;
180812;0;198;;
180813;0;97;;
180814;0;44;;
180815;0;34;;
180816;0;42;;
180817;0;61;;
180818;0;64;;
180819;0;55;;
180820;0;135;;
180821;0;125;;
180822;0;128;;
180823;0;45;;
180824;0;62;;
180825;0;56;;
180826;0;34;;
180827;0;38;;
180828;0;68;;
180829;0;75;;
180830;0;167;;
180831;0;265;;
180901;0;91;;
180902;0;39;;
180903;0;83;;
180904;0;;;
180905;0;116;;
180906;0;35;;
180907;0;38;;
180908;0;41;;
180909;0;80;;
180910;0;74;;
180911;0;37;;
180912;0;27;;
180913;0;24;;
180914;0;32;;
180915;0;39;;
180916;0;49;;
180917;0;34;;
180918;0;39;;
180919;0;43;;
180920;0;60;;
180921;0;47;;
180922;0;43;;
180923;0;35;;
180924;0;69;;
180925;0;68;;
180926;0;48;;
180927;0;75;;
180928;0;48;;
180929;0;52;;
180930;0;42;;
181001;0;35;;
181002;0;32;;
181003;0;52;;
181004;0;36;;
181005;0;88;;
181006;0;41;;
181007;0;37;;
181008;0;37;;
181009;0;38;;
181010;0;39;;
181011;0;35;;
181012;0;30;;
181013;0;21;;
181014;0;20;;
181015;0;30;;
181016;0;101;;
181017;0;71;;
181018;0;28;;
181019;0;33;;
181020;0;53;;
181021;0;31;;
181022;0;56;;
181023;0;112;;
181024;0;66;;
181025;0;37;;
181026;0;29;;
181027;0;26;;
181028;0;24;;
181029;0;19;;
181030;0;39;;
181031;0;67;;
181101;0;50;;
181102;0;35;;
181103;0;24;;
181104;0;23;;
181105;0;39;;
181106;0;40;;
181107;0;32;;
181108;0;27;;
181109;0;45;;
181110;0;42;;
181111;0;25;;
181112;0;19;;
181113;0;20;;
181114;0;26;;
181115;0;20;;
181116;0;19;;
181117;0;18;;
181118;0;14;;
181119;0;23;;
181120;0;28;;
181121;0;37;;
181122;0;21;;
181123;0;16;;
181124;0;18;;
181125;0;;;30
181126;0;22;;
181127;0;18;;
181128;0;16;;
181129;0;20;;
181130;0;22;;
181201;0;25;;
181202;0;16;;
181203;0;21;;
181204;0;17;;
181205;0;41;;
181206;0;19;;
181207;0;20;;
181208;0;;22;
181209;0;;14;
181210;0;;18;
181211;0;;15;
181212;0;;14;
181213;0;;20;
181214;0;;25;
181215;0;;25;
181216;0;;17;
181217;0;;24;
181218;0;;18;
181219;0;;13;
181220;0;;17;
181221;0;;17;
181222;0;;25;
181223;0;;19;
181224;0;;20;
181225;0;;19;
181226;0;;23;
181227;0;;20;
181228;0;;16;
181229;0;;17;
181230;0;;17;
181231;0;;20;
190101;0;23;;
190102;0;19;;
190103;0;17;;
190104;0;15;;
190105;0;24;;
190106;0;19;;
190107;0;23;;
190108;0;23;;
190109;0;24;;
190110;0;23;;
190111;0;19;;
190112;0;29;;
190113;0;22;;
190114;0;18;;
190115;0;23;;
190116;0;30;;
190117;0;24;;
190118;0;18;;
190119;0;23;;
190120;0;19;;
190121;0;27;;
190122;0;26;;
190123;0;15;;
190124;0;22;;
190125;0;;;10
190126;0;;;5
190127;0;;;5
190128;0;;;8
190129;0;16;;
190130;0;16;;
190131;0;16;;
190201;0;17;;
190202;0;33;;
190203;0;47;;
190204;0;43;;
190205;0;34;;
190206;0;24;;
190207;0;24;;
190208;0;41;;
190209;0;27;;
190210;0;22;;
190211;0;25;;
190212;0;23;;
190213;0;21;;
190214;0;19;;
190215;0;17;;
190216;0;22;;
190217;0;25;;
190218;0;16;;
190219;0;20;;
190220;0;22;;
190221;0;29;;
190222;0;34;;
190223;0;16;;
190224;0;31;;
190225;0;38;;
190226;0;28;;
190227;0;29;;
190228;0;36;;
190301;0;25;;
190302;0;26;;
190303;0;24;;
190304;0;23;;
190305;0;28;;
190306;0;28;;
190307;0;32;;
190308;0;25;;
190309;0;29;;
190310;0;33;;
190311;0;18;;
190312;0;33;;
190313;0;35;;
190314;0;41;;
190315;0;56;;
190316;0;34;;
190317;0;27;;
190318;0;30;;
190319;0;60;;
190320;0;37;;
190321;0;42;;
190322;0;23;;
190323;0;21;;
190324;0;23;;
190325;0;70;;
190326;0;87;;
190327;0;59;;
190328;0;48;;
190329;0;27;;
190330;0;37;;
190331;0;20;;
190401;0;25;;
190402;0;18;;
190403;0;25;;
190404;0;23;;
190405;0;30;;
190406;0;23;;
190407;0;31;;
190408;0;26;;
190409;0;36;;
190410;0;27;;
190411;0;19;;
190412;0;34;;
190413;0;33;;
190414;0;24;;
190415;0;21;;
190416;0;50;;
190417;0;33;;
190418;0;34;;
190419;0;38;;
190420;0;23;;
190421;0;60;;
190422;0;56;;
190423;0;118;;
190424;0;239;;
190425;0;252;;
190426;0;92;;
190427;0;73;;
190428;0;33;;
190429;0;32;;
190430;0;36;;
190501;0;61;;
190502;0;55;;
190503;0;122;;
190504;0;74;;
190505;0;29;;
190506;0;55;;
190507;0;77;;
190508;0;157;;
190509;0;60;;
190510;0;39;;
190511;0;23;;
190512;0;28;;
190513;0;73;;
190514;0;96;;
190515;0;80;;
190516;0;108;;
190517;0;60;;
190518;0;37;;
190519;0;58;;
190520;0;44;;
190521;0;31;;
190522;0;41;;
190523;0;40;;
190524;0;40;;
190525;0;44;;
190526;0;59;;
190527;0;104;;
190528;0;152;;
190529;0;146;;
190530;0;108;;
190531;0;132;;
190601;0;170;;
190602;0;112;;
190603;0;157;;
190604;0;122;;
190605;0;91;;
190606;0;43;;
190607;0;30;;
190608;0;68;;
190609;0;52;;
190610;0;63;;
190611;0;71;;
190612;0;136;;
190613;0;74;;
190614;0;86;;
190615;0;86;;
190616;0;85;;
190617;0;115;;
190618;0;102;;
190619;0;87;;
190620;0;192;;
190621;0;90;;
190622;0;53;;
190623;0;58;;
190624;0;49;;
190625;0;50;;
190626;0;57;;
190627;0;144;;
190628;0;145;;
190629;0;96;;
190630;0;81;;
190701;0;61;;
190702;0;88;;
190703;0;117;;
190704;0;192;;
190705;0;38;;
190706;0;150;;
190707;0;276;;
190708;0;171;;
190709;0;223;;
190710;0;152;;
190711;0;211;;
190712;0;228;;
190713;0;181;;
190714;0;103;;
190715;0;58;;
190716;0;123;;
190717;0;115;;
190718;0;57;;
190719;0;53;;
190720;0;87;;
190721;0;70;;
190722;0;52;;
190723;0;56;;
190724;0;52;;
190725;0;91;;
190726;0;43;;
190727;0;79;;
190728;0;139;;
190729;0;164;;
190730;0;74;;
190731;0;75;;
190801;0;56;;
190802;0;39;;
190803;0;30;;
190804;0;44;;
190805;0;88;;
190806;0;35;;
190807;0;78;;
190808;0;74;;
190809;0;32;;
190810;0;95;;
190811;0;51;;
190812;0;65;;
190813;0;141;;
190814;0;124;;
190815;0;94;;
190816;0;97;;
190817;0;60;;
190818;0;140;;
190819;0;186;;
190820;0;53;;
190821;0;54;;
190822;0;116;;
190823;0;112;;
190824;0;72;;
190825;0;89;;
190826;0;41;;
190827;0;88;;
190828;0;48;;
190829;0;38;;
190830;0;36;;
190831;0;72;;
190901;0;55;;
190902;0;88;;
190903;0;57;;
190904;0;65;;
190905;0;79;;
190906;0;173;;
190907;0;101;;
190908;0;43;;
190909;0;120;;
190910;0;121;;
190911;0;46;;
190912;0;48;;
190913;0;60;;
190914;0;31;;
190915;0;38;;
190916;0;24;;
190917;0;22;;
190918;0;31;;
190919;0;20;;
190920;0;24;;
190921;0;31;;
190922;0;28;;
190923;0;23;;
190924;0;22;;
190925;0;36;;
190926;0;121;;
190927;0;85;;
190928;0;34;;
190929;0;27;;
190930;0;32;;
191001;0;47;;
191002;0;60;;
191003;0;44;;
191004;0;29;;
191005;0;30;;
191006;0;32;;
191007;0;23;;
191008;0;23;;
191009;0;30;;
191010;0;48;;
191011;0;39;;
191012;0;29;;
191013;0;33;;
191014;0;64;;
191015;0;45;;
191016;0;37;;
191017;0;21;;
191018;0;26;;
191019;0;30;;
191020;0;23;;
191021;0;34;;
191022;0;33;;
191023;0;51;;
191024;0;35;;
191025;0;30;;
191026;0;20;;
191027;0;35;;
191028;0;51;;
191029;0;25;;
191030;0;28;;
191031;0;30;;
191101;0;23;;
191102;0;20;;
191103;0;17;;
